/usr/local/lib/python3.10/dist-packages/torch/utils/_pytree.py:185: FutureWarning: optree is installed but the version is too old to support PyTorch Dynamo in C++ pytree. C++ pytree support is disabled. Please consider upgrading optree using `python3 -m pip install --upgrade 'optree>=0.13.0'`.
  warnings.warn(
/usr/lib/python3/dist-packages/requests/__init__.py:87: RequestsDependencyWarning: urllib3 (2.5.0) or chardet (4.0.0) doesn't match a supported version!
  warnings.warn("urllib3 ({}) or chardet ({}) doesn't match a supported "
wandb: Currently logged in as: bloggerwang1217 (bloggerwang1217-national-taiwan-university) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run zybglac6
wandb: Tracking run with wandb version 0.23.0
wandb: Run data is saved locally in /home/bloggerwang/robot-vaccum-rl/wandb/run-20251118_083119-zybglac6
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run collision-10-energy-200-epsilon-0.3
wandb: ⭐️ View project at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl
wandb: 🚀 View run at https://wandb.ai/lazyhao-national-taiwan-university/robot-vacuum-rl/runs/zybglac6
Using device: cuda
[Episode 188] Steps: 35 | Survival: 3/4 | Mean Reward: 10.09 | Collisions: 16 | Kills: 0
[Episode 189] Steps: 500 | Survival: 4/4 | Mean Reward: 169.98 | Collisions: 49 | Kills: 0
[Episode 190] Steps: 500 | Survival: 4/4 | Mean Reward: 166.41 | Collisions: 67 | Kills: 0
[Episode 191] Steps: 359 | Survival: 3/4 | Mean Reward: 111.19 | Collisions: 71 | Kills: 0
[Episode 192] Steps: 158 | Survival: 3/4 | Mean Reward: 48.41 | Collisions: 30 | Kills: 0
[Episode 193] Steps: 500 | Survival: 4/4 | Mean Reward: 166.65 | Collisions: 54 | Kills: 0
[Episode 194] Steps: 72 | Survival: 3/4 | Mean Reward: 22.22 | Collisions: 16 | Kills: 0
[Episode 195] Steps: 500 | Survival: 4/4 | Mean Reward: 169.78 | Collisions: 37 | Kills: 0
[Episode 196] Steps: 165 | Survival: 3/4 | Mean Reward: 49.91 | Collisions: 27 | Kills: 2
[Episode 197] Steps: 500 | Survival: 4/4 | Mean Reward: 163.45 | Collisions: 31 | Kills: 0
[Episode 198] Steps: 500 | Survival: 4/4 | Mean Reward: 152.42 | Collisions: 86 | Kills: 0
[Episode 199] Steps: 318 | Survival: 3/4 | Mean Reward: 104.97 | Collisions: 56 | Kills: 2
Models saved to: /home/bloggerwang/robot-vaccum-rl/models/batch_training_20251118_081645/collision-10-energy-200-epsilon-0.3/episode_200
[Episode 200] Steps: 500 | Survival: 4/4 | Mean Reward: 167.88 | Collisions: 24 | Kills: 0
